Connected! - 2021-11-12 14:25:37
Disconnected! - 2021-11-12 14:25:46

Connected! - 2021-11-12 14:32:21
Disconnected! - 2021-11-12 14:32:45

Connected! - 2021-11-12 14:33:03
Disconnected! - 2021-11-12 14:33:15

Connected! - 2021-11-12 14:33:22
Disconnected! - 2021-11-12 14:33:27

Connected! - 2021-11-12 14:50:41
Disconnected! - 2021-11-12 14:50:45

Connected! - 2021-11-12 14:55:57
Disconnected! - 2021-11-12 14:56:04

Connected! - 2021-11-12 14:56:52
Connected! - 2021-11-12 14:57:01
Disconnected! - 2021-11-12 14:57:06

Connected! - 2021-11-12 14:57:45
Send Data! - 2021-11-12 14:57:48
Send Data! - 2021-11-12 14:57:49
Send Data! - 2021-11-12 14:57:49
Send Data! - 2021-11-12 14:57:49
Send Data! - 2021-11-12 14:57:51
Send Data! - 2021-11-12 14:57:51
Send Data! - 2021-11-12 14:57:52
Disconnected! - 2021-11-12 14:57:54

Connected! - 2021-11-12 14:58:16
Send Data! - 2021-11-12 14:58:18
Send Data! - 2021-11-12 14:58:20
Send Data! - 2021-11-12 14:58:21
Disconnected! - 2021-11-12 14:58:22

Connected! - 2021-11-12 14:59:07
Send Data! - 2021-11-12 14:59:08
Send Data! - 2021-11-12 14:59:09
Disconnected! - 2021-11-12 14:59:14

Connected! - 2021-11-12 15:46:30
Disconnected! - 2021-11-12 15:46:34

Disconnected! - 2021-11-12 15:46:47

Connected! - 2021-11-12 15:46:55
Disconnected! - 2021-11-12 15:51:02

Disconnected! - 2021-11-12 15:51:03

Connected! - 2021-11-12 15:51:07
Disconnected! - 2021-11-12 15:51:12

Disconnected! - 2021-11-12 15:51:13

Disconnected! - 2021-11-12 15:51:24

Connected! - 2021-11-12 15:53:38
Disconnected! - 2021-11-12 15:55:51

Disconnected! - 2021-11-12 15:55:52

Connected! - 2021-11-12 15:55:55
Disconnected! - 2021-11-12 15:57:07

Disconnected! - 2021-11-12 15:57:08

Connected! - 2021-11-12 15:57:20
Disconnected! - 2021-11-12 16:04:54

Disconnected! - 2021-11-12 16:04:54

Connected! - 2021-11-12 16:11:03
Disconnected! - 2021-11-12 16:11:08

Connected! - 2021-11-12 16:13:37
Send Data! - 2021-11-12 16:13:42
Disconnected! - 2021-11-12 16:14:05

Connected! - 2021-11-12 16:16:55
Send Data! - 2021-11-12 16:17:01
Connected! - 2021-11-12 16:20:40
Connected! - 2021-11-12 16:21:30
Disconnected! - 2021-11-12 16:21:44

Disconnected! - 2021-11-12 16:21:47

Connected! - 2021-11-12 16:21:49
Send Data! - 2021-11-12 16:21:53
Send Data! - 2021-11-12 16:21:57
Send Data! - 2021-11-12 16:21:57
Send Data! - 2021-11-12 16:22:01
Send Data! - 2021-11-12 16:22:02
Send Data! - 2021-11-12 16:22:16
Disconnected! - 2021-11-12 16:22:33

Disconnected! - 2021-11-12 16:25:31

Disconnected! - 2021-11-12 16:25:35

Connected! - 2021-11-12 16:25:39
Log
Send Data! - 2021-11-12 16:25:45
Put Your Log Here!!
Send Data! - 2021-11-12 16:25:50
Put Your Log Here!!
Disconnected! - 2021-11-12 16:25:55

Disconnected! - 2021-11-12 16:26:14

Connected! - 2021-11-12 16:26:17
Log
Send Data! - 2021-11-12 16:26:19
Put Your Log Here!!
Disconnected! - 2021-11-12 16:26:21

Connected! - 2021-11-12 16:33:06
Log
Send Data! - 2021-11-12 16:33:27
Put Your Log Here!!
Connected! - 2021-11-12 16:35:33
Log
Connected! - 2021-11-12 16:35:36
Log
Send Data! - 2021-11-12 16:35:43
Put Your Log Here!!
Send Data! - 2021-11-12 16:35:46
Put Your Log Here!!
Disconnected! - 2021-11-12 16:36:08

Disconnected! - 2021-11-12 16:36:10

Disconnected! - 2021-11-12 16:36:11

Disconnected! - 2021-11-12 16:36:12

